阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)	[sound:cmn-阿拉伯语.mp3]
轟炸	轰炸	hōngzhà	bomb	[sound:cmn-轰炸.mp3]
哄	哄	hōng	roar of laughter (onom.), hubbub, to roar (as a crowd), to deceive, to coax, to amuse (a child), tumult, uproar, commotion, disturbance	[sound:cmn-哄.mp3]
哄堂大笑	哄堂大笑	hōngtáng-dàxiào	the whole room roaring with laughter (idiom)	[sound:cmn-哄堂大笑.mp3]
烘乾	烘干	hōng gān	to dry over a stove	[sound:cmn-烘干.mp3]
烘托	烘托	hōngtuō	background (of a painting), backdrop, a foil (to set off something to advantage), to offset (something to advantage)	[sound:cmn-烘托.mp3]
弘揚	弘扬	hóngyáng	to enhance, to promote, to enrich	[sound:cmn-弘扬.mp3]
紅燈	红灯	hóngdēng	red light	[sound:cmn-红灯.mp3]
紅火	红火	hónghuo	prosperous	[sound:cmn-红火.mp3]
紅撲撲	红扑扑	hóngpūpū	red, rosy, flushed	[sound:cmn-红扑扑.mp3]
紅潤	红润	hóngrùn	ruddy, rosy, florid	[sound:cmn-红润.mp3]
紅薯	红薯	hóngshǔ	sweet potato	[sound:cmn-红薯.mp3]
紅眼	红眼	hóngyǎn	Red eye	[sound:cmn-红眼.mp3]
宏觀	宏观	hóngguān	macro-, macroscopic, holistic	[sound:cmn-宏观.mp3]
宏偉	宏伟	hóngwěi	grand, imposing, magnificent	[sound:cmn-宏伟.mp3]
洪亮	洪亮	hóngliàng	loud and clear, resonant	[sound:cmn-洪亮.mp3]
喉嚨	喉咙	hóulong	throat	[sound:cmn-喉咙.mp3]
吼	吼	hǒu	to roar, to howl, to shriek, roar or howl of an animal, bellow of rage	[sound:cmn-吼.mp3]
後備	后备	hòubèi	reserve, backup	[sound:cmn-后备.mp3]
後備箱	后备箱	hòubèixiāng	trunk, boot (of a car)	[sound:cmn-后备箱.mp3]
後代	后代	hòudài	descendant, posterity, descendants, later generations, ages, limb, later ages, get, descendent, later periods, offspring, later periods in history, progeny	[sound:cmn-后代.mp3]
後盾	后盾	hòudùn	support, backing	[sound:cmn-后盾.mp3]
後顧之憂	后顾之忧	hòugùzhīyōu	fears of trouble in the rear (idiom), family worries (obstructing freedom of action), worries about the future consequences, often in negative expressions, meaning 'no worries about anything'	[sound:cmn-后顾之忧.mp3]
後期	后期	hòuqī	late stage, later period	[sound:cmn-后期.mp3]
後勤	后勤	hòuqín	logistics	[sound:cmn-后勤.mp3]
後人	后人	hòurén	posperity, descendants, posterity, later generations	[sound:cmn-后人.mp3]
後臺	后台	hòutái	backstage area, behind-the-scenes supporter, (computing) back-end, background	[sound:cmn-后台.mp3]
後退	后退	hòutuì	to recoil, to draw back, to fall back, to retreat	[sound:cmn-后退.mp3]
後續	后续	hòuxù	follow up	[sound:cmn-后续.mp3]
後遺癥	后遗症	hòuyízhèng	aftereffect, hangover, sequela, sequelae	[sound:cmn-后遗症.mp3]
後裔	后裔	hòuyì	descendant	[sound:cmn-后裔.mp3]
後者	后者	hòuzhě	latter, the latter	[sound:cmn-后者.mp3]
厚道	厚道	hòudao	kind and honest, generous, sincere	[sound:cmn-厚道.mp3]
厚度	厚度	hòudù	thickness	[sound:cmn-厚度.mp3]
候選人	候选人	hòuxuǎnrén	aspirant, nominee, campaigner, candidate, candidate (for election)	[sound:cmn-候选人.mp3]
呼風喚雨	呼风唤雨	hūfēng-huànyǔ	to call the wind and summon the rain (idiom), to exercise magical powers, fig. to stir up troubles	[sound:cmn-呼风唤雨.mp3]
呼喚	呼唤	hūhuàn	to call out (a name etc), to shout	[sound:cmn-呼唤.mp3]
呼救	呼救	hūjiù	to call for help	[sound:cmn-呼救.mp3]
呼聲	呼声	hūshēng	a shout, fig. opinion or demand, esp. expressed by a group	[sound:cmn-呼声.mp3]
呼應	呼应	hūyìng	to conform (with), to echo, to correlate well, (linguistics) agreement	[sound:cmn-呼应.mp3]
呼吁	呼吁	hūyù	to call on (sb to do sth), to appeal (to), an appeal	[sound:cmn-呼吁.mp3]
忽高忽低	忽高忽低	hūgāohūdī	I suddenly	[sound:cmn-忽高忽低.mp3]
忽悠	忽悠	hūyou	to rock, to sway, to flicker (e.g. of lights reflected on water), to flutter (e.g. of a flag), to trick sb into doing sth, to dupe, to con	[sound:cmn-忽悠.mp3]
胡鬧	胡闹	húnào	to act willfully and make a scene, to make trouble	[sound:cmn-胡闹.mp3]
胡說	胡说	húshuō	to talk nonsense, drivel	[sound:cmn-胡说.mp3]
胡思亂想	胡思乱想	húsī-luànxiǎng	to indulge in flights of fancy (idiom), to let one's imagination run wild	[sound:cmn-胡思乱想.mp3]
湖泊	湖泊	húpō	lake	[sound:cmn-湖泊.mp3]
糊	糊	hū	congee, making a living, paste, cream	[sound:cmn-糊.mp3]
糊塗	糊涂	hútu	muddled, silly, confused	[sound:cmn-糊涂.mp3]
互補	互补	hùbǔ	complementary, to complement each other	[sound:cmn-互补.mp3]
互訪	互访	hùfǎng	exchange visits	[sound:cmn-互访.mp3]
互信	互信	hùxìn	mutual trust	[sound:cmn-互信.mp3]
互助	互助	hùzhù	Huzhu Tuzu autonomous county in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1], Qinghai, to help each other	[sound:cmn-互助.mp3]
護理	护理	hùlǐ	nursing	[sound:cmn-护理.mp3]
花瓣	花瓣	huābàn	petal, CL:片[pian4]	[sound:cmn-花瓣.mp3]
花卉	花卉	huāhuì	flowers and plants	[sound:cmn-花卉.mp3]
花紋	花纹	huāwén	decorative design	[sound:cmn-花纹.mp3]
花樣	花样	huāyàng	pattern, variety	[sound:cmn-花样.mp3]
華麗	华丽	huálì	magnificent, gorgeous	[sound:cmn-华丽.mp3]
划算	划算	huásuàn	to calculate, to weigh (pros and cons), to view as profitable, worthwhile, value for money, cost-effective	[sound:cmn-划算.mp3]
華僑	华侨	huáqiáo	overseas Chinese	[sound:cmn-华侨.mp3]
華裔	华裔	huáyì	foreign citizen of Ch. origin	[sound:cmn-华裔.mp3]
嘩變	哗变	huábiàn	mutiny, rebellion	[sound:cmn-哗变.mp3]
嘩然	哗然	huárán	in uproar, commotion, causing a storm of protest, tumultuous, variant of 嘩然|哗然[hua2 ran2]	[sound:cmn-哗然.mp3]
滑冰	滑冰	huá bīng	to skate, skating	[sound:cmn-滑冰.mp3]
滑稽	滑稽	huáji	comical, funny, amusing, old pr. [gu3 ji1], huaji, a form of comedy performance popular in Shanghai, Jiangsu and Zhejiang	[sound:cmn-滑稽.mp3]
滑梯	滑梯	huátī	(children's) sliding board, a slide	[sound:cmn-滑梯.mp3]
滑雪	滑雪	huá xuě	to ski, skiing	[sound:cmn-滑雪.mp3]
化肥	化肥	huàféi	fertilizer	[sound:cmn-化肥.mp3]
化身	化身	huàshēn	incarnation, reincarnation, embodiment (of abstract idea), personification	[sound:cmn-化身.mp3]
化纖	化纤	huàxiān	synthetic fiber	[sound:cmn-化纤.mp3]
化險為夷	化险为夷	huàxiǎn-wéiyí	to turn peril into safety (idiom), to avert disaster	[sound:cmn-化险为夷.mp3]
化驗	化验	huàyàn	laboratory test, chemical experiment, assay	[sound:cmn-化验.mp3]
化妝	化妆	huà zhuāng	make_up, bepaint, masquerade, put on make-up, make up, apply makeup, titivate	[sound:cmn-化妆.mp3]
劃時代	划时代	huàshídài	epoch-marking	[sound:cmn-划时代.mp3]
畫冊	画册	huàcè	picture album	[sound:cmn-画册.mp3]
畫龍點睛	画龙点睛	huàlóng-diǎnjīng	to paint a dragon and dot in the eyes (idiom), fig. to add the vital finishing touch, the crucial point that brings the subject to life, a few words to clinch the point	[sound:cmn-画龙点睛.mp3]
畫蛇添足	画蛇添足	huàshé-tiānzú	lit. draw legs on a snake (idiom), fig. to ruin the effect by adding sth superfluous, to overdo it	[sound:cmn-画蛇添足.mp3]
畫展	画展	huàzhǎn	art/paintings exhibition, art_exhibition, exhibition of paintings, art exhibition, art, paintings exhibition	[sound:cmn-画展.mp3]
話費	话费	huàfèi	call charge	[sound:cmn-话费.mp3]
話筒	话筒	huàtǒng	microphone, (telephone) receiver, handset	[sound:cmn-话筒.mp3]
話語	话语	huàyǔ	utterance, discourse, word, speech, spoken language, endearment, remark	[sound:cmn-话语.mp3]
懷抱	怀抱	huáibào	ambition, embrace	[sound:cmn-怀抱.mp3]
懷舊	怀旧	huáijiù	fond remembrance of times past, nostalgia	[sound:cmn-怀旧.mp3]
懷裡	怀里	huáilǐ	embrace, bosom	[sound:cmn-怀里.mp3]
懷孕	怀孕	huái yùn	gravid, expect, in a family way, with child, pregnant, be pregnant, gestate, impregnate, carry, bear, carry to term, be expecting, conceive	[sound:cmn-怀孕.mp3]
懷著	怀着	huáizhe	Be with	[sound:cmn-怀着.mp3]
槐樹	槐树	huáishù	locust tree (Sophora japonica)	[sound:cmn-槐树.mp3]
壞事	坏事	huàishì	rascality, evildoing, misdoing, villainy, roguery, bad thing, malfeasance, evil deed, caper	[sound:cmn-坏事.mp3]
歡呼	欢呼	huānhū	to cheer for, to acclaim	[sound:cmn-欢呼.mp3]
歡聚	欢聚	huānjù	to get together socially, to celebrate, party, celebration	[sound:cmn-欢聚.mp3]
歡快	欢快	huānkuài	cheerful and lighthearted, lively	[sound:cmn-欢快.mp3]
歡聲笑語	欢声笑语	huānshēng-xiàoyǔ	Laughter	[sound:cmn-欢声笑语.mp3]
還款	还款	huán kuǎn	repayment, to pay back money	[sound:cmn-还款.mp3]
還原	还原	huán yuán	to restore to the original state, to reconstruct (an event), reduction (chemistry)	[sound:cmn-还原.mp3]
環球	环球	huánqiú	around the world, worldwide	[sound:cmn-环球.mp3]
環繞	环绕	huánrào	circle, environ, encincture, encirclement, hoop, surround, cincture, gird, circumvolute, sphere, skirt, encircle, circumfluent, enwreathe, revolve around, border, girdle, girth, enring, rim	[sound:cmn-环绕.mp3]
緩	缓	huǎn	slow, unhurried, sluggish, gradual, not tense, relaxed, to postpone, to defer, to stall, to stave off, to revive, to recuperate	[sound:cmn-缓.mp3]
緩和	缓和	huǎnhé	relax, ease up, mitigate, appease	[sound:cmn-缓和.mp3]
緩緩	缓缓	huǎnhuǎn	postpone, postponement, little by little, slowly, put off, gradually, delay	[sound:cmn-缓缓.mp3]
幻覺	幻觉	huànjué	illusion, hallucination, figment of one's imagination	[sound:cmn-幻觉.mp3]
幻影	幻影	huànyǐng	phantom, mirage	[sound:cmn-幻影.mp3]
換成	换成	huànchéng	change to	[sound:cmn-换成.mp3]
緩慢	缓慢	huǎnmàn	largo, slow	[sound:cmn-缓慢.mp3]
換位	换位	huàn wèi	transposition	[sound:cmn-换位.mp3]
換言之	换言之	huànyánzhī	in other words	[sound:cmn-换言之.mp3]
換取	换取	huànqǔ	get in return, buy, exchange ... for, barter ... for, exchange sth. for, exchange	[sound:cmn-换取.mp3]
患	患	huàn	contract (an illness)	[sound:cmn-患.mp3]
喚起	唤起	huànqǐ	arouse, call, recall	[sound:cmn-唤起.mp3]
患病	患病	huàn bìng	to fall ill	[sound:cmn-患病.mp3]
患有	患有	huànyǒu	to contract (an illness), to be afflicted with, to suffer from	[sound:cmn-患有.mp3]
煥發	焕发	huànfā	to shine, to glow, to irradiate, to flash	[sound:cmn-焕发.mp3]
荒誕	荒诞	huāngdàn	beyond belief, incredible, preposterous, fantastic	[sound:cmn-荒诞.mp3]
荒	荒	huāng	desolate, shortage, scarce, out of practice, absurd, uncultivated, to neglect	[sound:cmn-荒.mp3]
荒涼	荒凉	huāngliáng	desolate	[sound:cmn-荒凉.mp3]
慌亂	慌乱	huāngluàn	frenetic, hurried	[sound:cmn-慌乱.mp3]
荒謬	荒谬	huāngmiù	absurd, preposterous	[sound:cmn-荒谬.mp3]
慌張	慌张	huāngzhang	confused, flustered	[sound:cmn-慌张.mp3]
皇宮	皇宫	huánggōng	imperial palace	[sound:cmn-皇宫.mp3]
皇室	皇室	huángshì	imperial family/house, royalty, imperial house, royal_family, imperial family, royal house, royal line, house, royal family	[sound:cmn-皇室.mp3]
皇上	皇上	huángshang	the emperor, Your majesty the emperor, His imperial majesty	[sound:cmn-皇上.mp3]
皇后	皇后	huánghòu	kaiserin, queen consort, queen, empress, queen_consort, Kaiserin	[sound:cmn-皇后.mp3]
恍然大悟	恍然大悟	huǎngrán-dàwù	to suddenly realize, to suddenly see the light	[sound:cmn-恍然大悟.mp3]
晃	晃	huǎng	to dazzle, to flash past, to sway, to shake, to wander about	[sound:cmn-晃.mp3]
黃昏	黄昏	huánghūn	dusk, evening, nightfall	[sound:cmn-黄昏.mp3]
謊言	谎言	huǎngyán	lie	[sound:cmn-谎言.mp3]
謊話	谎话	huǎnghuà	lie	[sound:cmn-谎话.mp3]
灰	灰	huī	ash, dust	[sound:cmn-灰.mp3]
灰塵	灰尘	huīchén	dust	[sound:cmn-灰尘.mp3]
晃蕩	晃荡	huàngdang	to rock, to sway, to shake	[sound:cmn-晃荡.mp3]
揮	挥	huī	to wave, to brandish, to command, to conduct, to scatter, to disperse	[sound:cmn-挥.mp3]
灰心	灰心	huī xīn	to lose heart, to be discouraged	[sound:cmn-灰心.mp3]
輝煌	辉煌	huīhuáng	glorious, effulgent, brilliant	[sound:cmn-辉煌.mp3]
回扣	回扣	huíkòu	brokerage, a commission paid to a middleman, euphemism for a bribe, a kickback	[sound:cmn-回扣.mp3]
回饋	回馈	huíkuì	reward, feedback	[sound:cmn-回馈.mp3]
回落	回落	huíluò	to fall back, to return to low level after a rise (in water level, price etc)	[sound:cmn-回落.mp3]
迴首	回首	huíshǒu	to turn around, to look back, to recollect	[sound:cmn-回首.mp3]
回升	回升	huíshēng	rise again (after a fall), pick up	[sound:cmn-回升.mp3]
回味	回味	huíwèi	to reflect on, to ponder over, aftertaste	[sound:cmn-回味.mp3]
回歸	回归	huíguī	reunification, return, regressive, regress	[sound:cmn-回归.mp3]
回想	回想	huíxiǎng	look_back, retrospect, recur, recollection, cut back, think back, echo, remember, reflect, recollect, recall, recapture, go back, flash_back, commemorate, retroject, retrace, flash back	[sound:cmn-回想.mp3]
回憶錄	回忆录	huíyìlù	memoir	[sound:cmn-回忆录.mp3]
悔恨	悔恨	huǐhèn	remorse, repentance	[sound:cmn-悔恨.mp3]
毀壞	毁坏	huǐhuài	to damage, to devastate, to vandalize, damage, destruction	[sound:cmn-毁坏.mp3]
匯合	汇合	huìhé	confluence, to converge, to join, to fuse, fusion	[sound:cmn-汇合.mp3]
彙集	汇集	huìjí	to collect, to compile, to converge	[sound:cmn-汇集.mp3]
毀滅	毁灭	huǐmiè	to perish, to ruin, to destroy	[sound:cmn-毁灭.mp3]
會場	会场	huìchǎng	assembly_hall, fraternity house, conference, assembly hall, conference/assembly hall, theater, meeting-place, chapterhouse, meeting place, venue, conference hall, frat house	[sound:cmn-会场.mp3]
會面	会面	huì miàn	to meet with, meeting	[sound:cmn-会面.mp3]
會聚	汇聚	huìjù	convergence, to come together	[sound:cmn-汇聚.mp3]
會晤	会晤	huìwù	to meet, meeting, conference	[sound:cmn-会晤.mp3]
會意	会意	huìyì	combined ideogram (one of the Six Methods 六書|六书[liu4 shu1] of forming Chinese characters), Chinese character that combines the meanings of existing elements, also known as joint ideogram or associative compounds, to comprehend without being told explicitly, to cotton on, knowing (smile, glance etc)	[sound:cmn-会意.mp3]
會診	会诊	huì zhěn	consultation (medical), to meet for diagnosis, (by extension) consultation of different specialists	[sound:cmn-会诊.mp3]
繪聲繪色	绘声绘色	huìshēng-huìsè	vivid and colorful (idiom), true to life, lively and realistic	[sound:cmn-绘声绘色.mp3]
賄賂	贿赂	huìlù	to bribe, a bribe	[sound:cmn-贿赂.mp3]
婚紗	婚纱	hūnshā	gown, wedding dress	[sound:cmn-婚纱.mp3]
婚姻	婚姻	hūnyīn	connubiality, wedlock, marital, union, marriage, married couple, matrimonial, match, man and wife, matrimony	[sound:cmn-婚姻.mp3]
渾身	浑身	húnshēn	all over, from head to foot	[sound:cmn-浑身.mp3]
魂	魂	hún	soul, spirit, immortal soul, i.e. that can be detached from the body	[sound:cmn-魂.mp3]
昏迷	昏迷	hūnmí	to lose consciousness, to be in a coma, stupor, coma, stunned, disoriented	[sound:cmn-昏迷.mp3]
混凝土	混凝土	hùnníngtǔ	concrete	[sound:cmn-混凝土.mp3]
混淆	混淆	hùnxiáo	to obscure, to confuse, to mix up, to blur, to mislead	[sound:cmn-混淆.mp3]
混濁	混浊	hùnzhuó	turbid, muddy, dirty	[sound:cmn-混浊.mp3]
豁	豁	huō	to play Chinese finger-guessing game, opening, stake all, sacrifice, crack, slit, clear, open, exempt (from), liberal-minded	[sound:cmn-豁.mp3]
豁出去	豁出去	huō chuqu	to throw caution to the wind, to press one's luck, to go for broke	[sound:cmn-豁出去.mp3]
活該	活该	huógāi	(coll.) serve sb right, deservedly, ought, should	[sound:cmn-活该.mp3]
活期	活期	huóqī	(banking) current (account), checking (account), demand (deposit etc)	[sound:cmn-活期.mp3]
活兒	活儿	huór5	work, (lots of) things to do	[sound:cmn-活儿.mp3]
火暴	火暴	huǒbào	fiery (temper), popular, flourishing, prosperous, lively, variant of 火爆[huo3 bao4]	[sound:cmn-火暴.mp3]
火鍋	火锅	huǒguō	hotpot	[sound:cmn-火锅.mp3]
火候	火候	huǒhou	heat control, maturity, crucial moment	[sound:cmn-火候.mp3]
火花	火花	huǒhuā	spark, sparkle	[sound:cmn-火花.mp3]
火炬	火炬	huǒjù	a torch, CL:把[ba3]	[sound:cmn-火炬.mp3]
火辣辣	火辣辣	huǒlàlà	painful heat, scorching, painful heat, rude and forthright, provocative, hot, sexy	[sound:cmn-火辣辣.mp3]
火熱	火热	huǒrè	fiery, burning, fervent, ardent, passionate	[sound:cmn-火热.mp3]
火山	火山	huǒshān	volcano	[sound:cmn-火山.mp3]
火速	火速	huǒsù	at top speed, at a tremendous lick	[sound:cmn-火速.mp3]
火焰	火焰	huǒyàn	blaze, flame	[sound:cmn-火焰.mp3]
火藥	火药	huǒyào	gunpowder	[sound:cmn-火药.mp3]
伙食	伙食	huǒshi	food, meals	[sound:cmn-伙食.mp3]
或多或少	或多或少	huòduōhuòshǎo	more or less	[sound:cmn-或多或少.mp3]
貨幣	货币	huòbì	coinage, mintage, tin, coin, currency, specie, monetary, money, metal money, piece	[sound:cmn-货币.mp3]
貨車	货车	huòchē	truck, van, freight wagon	[sound:cmn-货车.mp3]
貨物	货物	huòwù	portage, freight, hotshot, shipment, transit, payload, lading, load, commodity, traffic, salework, shipload, bale, consignment, ware, store, cargo, goods, loading, article, merchandise, invoice, charge, freightage	[sound:cmn-货物.mp3]
貨運	货运	huòyùn	freight transport, cargo, transported goods	[sound:cmn-货运.mp3]
獲勝	获胜	huò shèng	triumphant, triumph, beat, win victory, be victorious, conquer, gain, prevail, win	[sound:cmn-获胜.mp3]
獲悉	获悉	huòxī	have, understand, get_onto, learn, learn (of an event)	[sound:cmn-获悉.mp3]
禍害	祸害	huòhai	disaster, harm, scourge, bad person, to damage, to harm, to wreck	[sound:cmn-祸害.mp3]
霍亂	霍乱	huòluàn	cholera	[sound:cmn-霍乱.mp3]
豁達	豁达	huòdá	optimistic, sanguine, generous, magnanimous, open-minded	[sound:cmn-豁达.mp3]
譏笑	讥笑	jīxiào	to sneer	[sound:cmn-讥笑.mp3]
飢餓	饥饿	jīè	hunger, starvation, famine	[sound:cmn-饥饿.mp3]
幾率	几率	jīlǜ	probability, odds	[sound:cmn-几率.mp3]
機艙	机舱	jīcāng	cabin of a plane	[sound:cmn-机舱.mp3]
機動	机动	jīdòng	locomotive, motorized, power-driven, adaptable, flexible (use, treatment, timing etc)	[sound:cmn-机动.mp3]
機密	机密	jīmì	secret, classified (information)	[sound:cmn-机密.mp3]
機靈	机灵	jīling	clever, quick-witted	[sound:cmn-机灵.mp3]
機智	机智	jīzhì	quick-witted, resourceful	[sound:cmn-机智.mp3]
肌膚	肌肤	jīfū	skin	[sound:cmn-肌肤.mp3]
積	积	jī	accumulate, amass, accumulation, store up	[sound:cmn-积.mp3]
積澱	积淀	jīdiàn	deposits accumulated over long periods, fig. valuable experience, accumulated wisdom	[sound:cmn-积淀.mp3]
積蓄	积蓄	jīxù	to save, to put aside, savings	[sound:cmn-积蓄.mp3]
基本功	基本功	jīběngōng	basic skills, fundamentals	[sound:cmn-基本功.mp3]
基層	基层	jīcéng	grass-roots unit, basic/primary level	[sound:cmn-基层.mp3]
基因	基因	jīyīn	gene	[sound:cmn-基因.mp3]
基準	基准	jīzhǔn	guideline, foundation, base, norm, standard, criterion, postulate, fundament, principle, groundwork, modulus, yardstick, benchmark, standard criterion, module, cornerstone, touchstone, datum, basis, fiducial	[sound:cmn-基准.mp3]
基於	基于	jīyú	on the basis of, in view of, because of	[sound:cmn-基于.mp3]
畸形	畸形	jīxíng	deformity, abnormality	[sound:cmn-畸形.mp3]
激發	激发	jīfā	spark, incite, suggest, explode, excitation, foster, motivate, arouse, stir, draw on, set off, energize, excite, stimulation, stimulate	[sound:cmn-激发.mp3]
激光	激光	jīguāng	laser	[sound:cmn-激光.mp3]
激化	激化	jīhuà	intensify	[sound:cmn-激化.mp3]
激活	激活	jīhuó	to activate	[sound:cmn-激活.mp3]
激勵	激励	jīlì	encourage, impel, urge	[sound:cmn-激励.mp3]
激起	激起	jī qǐ	elicit, feed, animate, stir up, arise, pique, enliven, fire, fan, inspire, galvanize, raise, enkindle, stir, arouse, wind up, excite, turn on, provoke, spark, kindle, sex, prompt, evoke, uprouse, ferment, whip_up, awake, rouse, evocation, invigorate, exalt	[sound:cmn-激起.mp3]
及	及	jí	to reach, to catch up, and	[sound:cmn-及.mp3]
及其	及其	jíqí	and, as well as	[sound:cmn-及其.mp3]
激素	激素	jīsù	hormone	[sound:cmn-激素.mp3]
及早	及早	jízǎo	at an early date, as soon as possible	[sound:cmn-及早.mp3]
吉普	吉普	jípǔ	Jeep (car brand)	[sound:cmn-吉普.mp3]
吉他	吉他	jítā	guitar (loanword), CL:把[ba3]	[sound:cmn-吉他.mp3]
吉祥物	吉祥物	jíxiángwù	mascot	[sound:cmn-吉祥物.mp3]
級別	级别	jíbié	(military) rank, level, grade	[sound:cmn-级别.mp3]
極度	极度	jídù	extremely, plaguey, exceedingly, deadly, vitally, to the utmost, passing, plaguily, badly, plaguy	[sound:cmn-极度.mp3]
極力	极力	jílì	sparing no effort, spare no effort, doing one's utmost, do one's utmost to	[sound:cmn-极力.mp3]
極少數	极少数	jíshǎoshù	extremely few, a small minority	[sound:cmn-极少数.mp3]
極為	极为	jíwéi	all, absolutely, extremely, dead, utterly, entirely, eminently, exceedingly, vitally, helluva, definitely, superlatively, totally, completely	[sound:cmn-极为.mp3]
極限	极限	jíxiàn	breaking point, level best, utmost, limit/maximum, maximum, bounds, extreme, limitation, outside, boundary, uttermost, breaking_point, extremity, upper limit, limit	[sound:cmn-极限.mp3]
即	即	jí	at present, in the immediate future, then, promptly, at once	[sound:cmn-即.mp3]
即便	即便	jíbiàn	even if, even though, right away, immediately	[sound:cmn-即便.mp3]
即可	即可	jíkě	then could do something	[sound:cmn-即可.mp3]
急劇	急剧	jíjù	rapid, sudden	[sound:cmn-急剧.mp3]
急迫	急迫	jípò	urgent, pressing, imperative	[sound:cmn-急迫.mp3]
急性	急性	jíxìng	acute (of diseases)	[sound:cmn-急性.mp3]
急於	急于	jíyú	anxious, anxious to (do sth.), eager, desperate	[sound:cmn-急于.mp3]
急診	急诊	jízhěn	emergency call, emergency (medical) treatment	[sound:cmn-急诊.mp3]
急轉彎	急转弯	jízhuǎnwān	to make a sudden turn	[sound:cmn-急转弯.mp3]
急需	急需	jíxū	to urgently need, urgent need	[sound:cmn-急需.mp3]
棘手	棘手	jíshǒu	thorny (problem), intractable	[sound:cmn-棘手.mp3]
集結	集结	jíjié	to assemble, to concentrate, to mass, to build up, to marshal	[sound:cmn-集结.mp3]
集郵	集邮	jí yóu	stamp collecting, philately	[sound:cmn-集邮.mp3]
集裝箱	集装箱	jízhuāngxiāng	container (for shipping)	[sound:cmn-集装箱.mp3]
集會	集会	jíhuì	assemble, rally, gather	[sound:cmn-集会.mp3]
嫉妒	嫉妒	jídù	to be jealous, to envy, to hate	[sound:cmn-嫉妒.mp3]
脊梁	脊梁	jǐliang	backbone, spine	[sound:cmn-脊梁.mp3]
集資	集资	jízī	to raise money, to accumulate funds	[sound:cmn-集资.mp3]
計	计	jì	surname Ji, to calculate, to compute, to count, to regard as important, to plan, ruse, meter, gauge	[sound:cmn-计.mp3]
擠壓	挤压	jǐyā	to squeeze, to press, to extrude	[sound:cmn-挤压.mp3]
計較	计较	jìjiào	argue, arguement, wrangle, care, dispute, think over, haggle over, haggling over, mind, fuss about, discuss in minute detail	[sound:cmn-计较.mp3]
記號	记号	jìhao	earmark, symbolism, reader, impress, indicium, symbol, notation, tick, token, marker, type, sign, score, signature, mark, chip, character, seal, crack, marking, dent, ostent, indicia, check, impression	[sound:cmn-记号.mp3]
計時	计时	jìshí	to measure time, to time, to reckon by time	[sound:cmn-计时.mp3]
記憶猶新	记忆犹新	jìyì-yóuxīn	to remain fresh in one's memory (idiom)	[sound:cmn-记忆犹新.mp3]
紀錄片	纪录片	jìlùpiàn	newsreel, documentary (film or TV program), CL:部[bu4]	[sound:cmn-纪录片.mp3]
紀念碑	纪念碑	jìniànbēi	monument	[sound:cmn-纪念碑.mp3]
紀念館	纪念馆	jìniànguǎn	memorial museum, museum in memory of sb., memorial hall, monument, memorial hall/museum, museum, memorial	[sound:cmn-纪念馆.mp3]
紀念日	纪念日	jìniànrì	day of commemoration, memorial day	[sound:cmn-纪念日.mp3]
紀實	纪实	jìshí	record of actual events, documentary (factual rather than fictional)	[sound:cmn-纪实.mp3]
計策	计策	jìcè	stratagem	[sound:cmn-计策.mp3]
技藝	技艺	jìyì	mechanical arts, science, feat, skill, craft, craftsmanship, artistry, craftship, workmanship	[sound:cmn-技艺.mp3]
忌	忌	jì	to be jealous of, fear, dread, scruple, to avoid or abstain from, to quit, to give up sth	[sound:cmn-忌.mp3]
忌諱	忌讳	jìhui	taboo, to avoid as taboo, to abstain from	[sound:cmn-忌讳.mp3]
忌口	忌口	jì kǒu	abstain from certain food (as when ill), avoid certain foods, be on a diet	[sound:cmn-忌口.mp3]
劑	剂	jì	dose (medicine)	[sound:cmn-剂.mp3]
跡象	迹象	jìxiàng	breath, gleam, spark, intimation, indication, trace, vestige, glint, evidence, sign, showing, mark, shadow, glimmer, appearance, relic, hint, phenomenon, augury	[sound:cmn-迹象.mp3]
繼	继	jì	then, afterwards	[sound:cmn-继.mp3]
繼而	继而	jìér	then, afterwards	[sound:cmn-继而.mp3]
繼父	继父	jìfù	stepfather	[sound:cmn-继父.mp3]
繼母	继母	jìmǔ	stepmother	[sound:cmn-继母.mp3]
祭	祭	jì	surname Zhai, to offer sacrifice, festive occasion	[sound:cmn-祭.mp3]
祭奠	祭奠	jìdiàn	to offer sacrifices (to one's ancestors), to hold or attend a memorial service	[sound:cmn-祭奠.mp3]
祭祀	祭祀	jìsi	offer sacrifices to gods/ancestors	[sound:cmn-祭祀.mp3]
寄託	寄托	jìtuō	to entrust (to sb), to place (one's hope, energy etc) in, a thing in which you invest (your hope, energy etc)	[sound:cmn-寄托.mp3]
寂靜	寂静	jìjìng	quiet	[sound:cmn-寂静.mp3]
寂寞	寂寞	jìmò	be lonely	[sound:cmn-寂寞.mp3]
加緊	加紧	jiājǐn	to intensify, to speed up, to step up	[sound:cmn-加紧.mp3]
加劇	加剧	jiājù	to intensify, to sharpen, to accelerate, to aggravate, to exacerbate, to embitter	[sound:cmn-加剧.mp3]
加深	加深	jiāshēn	to deepen	[sound:cmn-加深.mp3]
