爱情	愛情	ai4qing2	àiqíng	(romantic) love
效果	效果	xiao4guo3	xiàoguǒ	effect; result
心情	心情	xin1qing2	xīnqíng	mood; state of mind
辛苦	辛苦	xin1ku3	xīnkǔ	hard; exhausting; toilsome; laborious
信封	信封	xin4feng1	xìnfēng	envelope
信息	信息	xin4xi1	xìnxī	information; news; message
信心	信心	xin4xin1	xìnxīn	confidence; faith (in sb. or sth.)
兴奋	興奮	xing1fen4	xīngfèn	excitement； be excited
行	行	xing2	xíng	walk; be current; do; will do; okay
醒	醒	xing3	xǐng	wake up
幸福	幸福	xing4fu2	xìngfú	happy; blessed; fortunate
性别	性別	xing4bie2	xìngbié	gender; sex; sexual distinction
性格	性格	xing4ge2	xìnggé	nature; personality; temperament
修理	修理	xiu1li3	xiūlǐ	to repair; perform maintenance; to overhaul
许多	許多	xu3duo1	xǔduō	many; a lot; much
学期	學期	xue2qi1	xuéqī	semester; school term
压力	壓力	ya1li4	yālì	pressure; stress
呀	呀	ya	ya	ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)
牙膏	牙膏	ya2gao1	yágāo	toothpaste
亚洲	亞洲	Ya4zhou1	Yàzhōu	Asia
严格	嚴格	yang2e2	yángé	strict; stringent; tight
严重	嚴重	yan2zhong4	yánzhòng	grave; serious; critical
研究	研究	yan2jiu1	yánjiū	to study; to research
盐	鹽	yan2	yán	salt
眼镜	眼鏡	yan3jing4	yǎnjìng	glasses; spectacles
演出	演出	yan3chu1	yǎnchū	to act (in a play); to perform; to put on a show; performance
演员	演員	yan3yuan2	yǎnyuán	actor or actress; performer
阳光	陽光	yang2guang1	yángguāng	sunshine; sunlight
养成	養成	yang3cheng2	yǎngchéng	cultivate; acquire; to form
样子	樣子	yang4zi	yàngzi	manner; air; appearance; looks
邀请	邀請	yao1qing3	yāoqǐng	to invite
要是	要是	yao4shi	yàoshi	if; suppose; in case
钥匙	鑰匙	yao4shi	yàoshi	key
也许	也許	ye3xu3	yěxǔ	perhaps; probably; maybe
叶子	葉子	ye4zi	yèzi	leaves
页	頁	ye4	yè	page; leaf (Kangxi radical 181)
一切	一切	yi2qie4	yíqiè	all; every; everything
以	以	yi3	yǐ	to use; according to; so as to; for; by
以为	以爲	yi3wei2	yǐwéi	think (mistakenly); consider (that); believe
艺术	藝術	yi4shu4	yìshù	art
意见	意見	yi4jian4	yìjiàn	opinion; view; suggestion; complaint
因此	因此	yin1ci3	yīncǐ	therefore; thus; that is why; because of this
引起	引起	yin3qi3	yǐnqǐ	give rise to; lead to; to cause; arouse
印象	印象	yin4xiang4	yìnxiàng	impression
赢	贏	ying2	yíng	to win; to beat; to profit
应聘	應聘	ying4pin4	yìngpìn	accept a job offer; to apply for a job
永远	永遠	yong3yuan3	yǒngyuǎn	forever; eternal; always
勇敢	勇敢	yong3gan3	yǒnggǎn	brave; courageous
优点	優點	you1dian3	yōudiǎn	merit; good point; a strength; a benefit
优秀	優秀	you1xiu4	yōuxiù	outstanding; excellent
幽默	幽默	you1mo4	yōumò	humorous
尤其	尤其	you2qi2	yóuqí	especially; particularly
由	由	you2	yóu	follow; from; by; through
由于	由于	you2yu2	yóuyú	due to; owing to; as a result of; thanks to
邮局	郵局	you2ju2	yóujú	post office
友好	友好	you3hao3	yǒuhǎo	friendly (relations); close friends
友谊	友誼	you3yi4	yǒuyì	friendship; companionship
有趣	有趣	you3qu4	yǒuqù	interesting; fascinating; amusing
于是	于是	yu2shi4	yúshì	as a result; thus; therefore
愉快	愉快	yu2kuai4	yúkuài	happy; cheerful; delightful
与	與	yu3	yǔ	(formal) and; to give; together with; participate; final particle expressing doubt or surprise
羽毛球	羽毛球	yu3mao2qiu2	yǔmáoqiú	badminton
语法	語法	yu3fa3	yǔfǎ	grammar
语言	語言	yu3yan2	yǔyán	language
预习	預習	yu4xi2	yùxí	(of students) prepare a lesson before class; preview
原来	原來	yuan2lai2	yuánlái	original; former; as it turns out
原谅	原諒	yuan2liang4	yuánliàng	to excuse; forgive; to pardon
原因	原因	yuan2yin1	yuányīn	cause; reason
约会	約會	yue1hui4	yuēhuì	appointment; engagement; date
阅读	閱讀	yue4du2	yuèdú	read; reading
云	雲	yun2	yún	cloud; Yunnan province | say; speak
允许	允許	yun3xu3	yǔnxǔ	to permit; allow
杂志	雜志	za2zhi4	zázhì	magazine
咱们	咱們	zan2men	zánmen	we (including the listener); us; our
暂时	暫時	zan4shi2	zànshí	temporary; transient; for the moment
脏	髒	zang1	zāng	filthy; dirty
责任	責任	zer2en4	zérèn	responsibility; blame; duty
增加	增加	zeng1jia1	zēngjiā	to increase; to raise; add
占线	占線	zhan4xian4	zhànxiàn	the (phone) line is busy
招聘	招聘	zhao1pin4	zhāopìn	recruitment; take job applications for a job
照	照	zhao4	zhào	to shine; illuminate; according to
真正	真正	zhen1zheng4	zhēnzhèng	genuine; real; true
整理	整理	zheng3li3	zhěnglǐ	put in order; arrange; straighten up; to tidy; to pack (luggage)
正常	正常	zheng4chang2	zhèngcháng	normal; regular; ordinary
正好	正好	zheng4hao3	zhènghǎo	just (in time); just right; just enough; happen to; by chance
正确	正確	zheng4que4	zhèngquè	correct; proper
正式	正式	zheng4shi4	zhèngshì	formal; official
证明	證明	zheng4ming2	zhèngmíng	proof; testify; confirm; certificate
之	之	zhi1	zhī	(literary equivalent to 的); (pronoun); of
支持	支持	zhi1chi2	zhīchí	sustain; hold out; | support; stand by (e.g. international support)
知识	知識	zhi1shi	zhīshi	knowledge; intellectual
直接	直接	zhi2jie1	zhíjiē	direct; immediate
值得	值得	zhi2de	zhíde	be worth; deserve
职业	職業	zhi2ye4	zhíyè	profession; occupation
植物	植物	zhi2wu4	zhíwù	plant; botanical; vegetation
只好	只好	zhi3hao3	zhǐhǎo	have to; be forced to
只要	只要	zhi3yao4	zhǐyào	so long as; if only; provided that
指	指	zhi3	zhǐ	finger; to point (at, to, out); refer to
至少	至少	zhi4shao3	zhìshǎo	at least; (to say the) least
质量	質量	zhi4liang4	zhìliàng	quality; mass (physics)
重	重	zhong4	zhòng	heavy; serious; important
重点	重點	zhong4dian3	zhòngdiǎn	emphasis; main point
重视	重視	zhong4shi4	zhòngshì	to value; take seriously
周围	周圍	zhou1wei2	zhōuwéi	surroundings; vicinity; environment
主意	主意	zhu3yi	zhǔyi	plan; idea; decision
祝贺	祝賀	zhu4he4	zhùhè	congratulate
著名	著名	zhu4ming2	zhùmíng	famous; well-known; celebration
专门	專門	zhuan1men2	zhuānmén	specialized
专业	專業	zhuan1ye4	zhuānyè	profession; specialized field of study; major
转	轉	zhuan3, zhuan4	zhuǎn, zhuàn	to turn; to change; pass on | revolve; rotate
赚	賺	zhuan4	zhuàn	earn; make a profit
准确	准確	zhun3que4	zhǔnquè	accurate; precise
准时	准時	zhun3shi2	zhǔnshí	punctually; on time
仔细	仔細	zi3xi4	zǐxì	careful; attentive; cautious
自然	自然	zi4ran2	zìrán	nature; natural
自信	自信	zi4xin4	zìxìn	self-confidence
总结	總結	zong3jie2	zǒngjié	summarize; conclude
租	租	zu1	zū	to rent
最好	最好	zui4hao3	zuìhǎo	the best; had better ...; it would be best
尊重	尊重	zun1zhong4	zūnzhòng	esteem; to respect; to value; to honor
左右	左右	zuo3you4	zuǒyòu	about; approximate; around | left and right
作家	作家	zuo4jia1	zuòjiā	author; writer
作用	作用	zuo4yong4	zuòyòng	action; activity; effect
作者	作者	zuo4zhe3	zuòzhě	author; writer
座	座	zuo4	zuò	(mw for mountains, bridges, tall buildings, etc.); | seat; base; stand; constellation
座位	座位	zuo4wei4	zuòwèi	seat; place
